Display Name,Jurisdiction,Classification,Website,Tags,Website Flags,OMA Flags,Public Comment Flags,Report Card Flags,Public Comment Policy,score,correct,graded,grade
Chicago Advisory Council on Equity,Chicago,Advisory Committee,https://www.chicago.gov/city/en/depts/cchr/provdrs/advisory_councilonequity.html,"Labor,Housing",,No information online,No public comment policy,,,20.00,1,5,F
Chicago Advisory Council on Veterans Affairs,Chicago,Advisory Committee,https://www.chicago.gov/city/en/depts/fss/veterans/advisory-council-on-veterans-affairs.html,"Labor,Housing,Health",,No information online,No public comment policy,,,20.00,1,5,F
Chicago Affirmative Action Advisory Board,Chicago,Advisory Committee,,"Labor,Development",No website,No information online,No public comment policy,,,0.00,0,5,F
Chicago Animal Care and Control Commission Advisory Board,Chicago,Advisory Committee,https://www.chicago.gov/city/en/depts/cacc/supp_info/public_notice.html,Urban Animals,,Agendas not posted,Overall comment time less than 1 hour,Meeting days/times spread through week/day,https://www.chicago.gov/content/dam/city/depts/cacc/PDFiles/CACC_Commission_Meeting_Rules2.pdf,73.00,8,11,C
Chicago Board of Election Commissioners,Chicago,Commission,http://www.chicagoelections.com/en/board-meetings.html,Elections,,,,"Meetings recorded,Meeting days/times spread through week/day",https://app.chicagoelections.com/documents/general/Public-Participation-Rules.pdf,100.00,11,11,A
Chicago Board of Ethics,Chicago,Board,https://www.chicago.gov/city/en/depts/ethics.html,"Ethics,Politics,Finance",,,,,https://www.chicago.gov/content/dam/city/depts/ethics/general/Ordinances/Rules-Reg-2014.pdf,82.00,9,11,B
Chicago Board of Health,Chicago,Board,https://www.chicago.gov/city/en/depts/cdph/supp_info/boh/2019-board-of-health-meetings.html,Health,,,No public comment policy,,,75.00,6,8,C
Chicago Building Board of Appeals,Chicago,Board,https://www.chicago.gov/city/en/depts/bldgs/supp_info/bbaapp.html,Development,,No information online,No public comment policy,,,20.00,1,5,F
Chicago City Council,Chicago,City Council,https://chicago.legistar.com/Calendar.aspx,"Politics,City Council",,,"Public comment related to agenda,Overall comment time less than 1 hour","Meetings recorded,Meetings livestreamed",https://www.chicityclerk.com/city-council-news-central/rules-order,73.00,8,11,C
Chicago City Council Committee on Aviation,Chicago,Committee,https://chicago.legistar.com/Calendar.aspx,"City Council,Transportation,Politics",,Minutes missing info,"Public comment related to agenda,Overall comment time less than 1 hour","Meetings recorded,Meetings livestreamed",https://www.chicityclerk.com/city-council-news-central/rules-order,64.00,7,11,D
