id,agency,agency_id,name,start_date,start_day,start_time,end_time,status,url,location_name,street_address,address2,city,state,zip_code,lat,lon
24334,Chicago Special Service Area #33 Wicker Park & Bucktown,93,Clean & Green Committee - 2018 Meetings,2018-01-02,Tuesday,9:00:00,10:30:00,Passed,https://www.documenters.org/meetings/clean-green-committee-2018-meetings-24334/,,2011 W Division,,Chicago,IL,,41.90311,-87.67753
23435,Chicago Low-Income Housing Trust Fund,51,Finance Committee,2018-01-02,Tuesday,15:30:00,16:30:00,Passed,https://www.documenters.org/meetings/finance-committee-23435/,,121 N La Salle,Room 1006,Chicago,IL,60602,41.88369172,-87.63239456
24336,Chicago Special Service Area #33 Wicker Park & Bucktown,93,Promote WPB Committee - 2018 Meetings,2018-01-04,Thursday,8:30:00,10:00:00,Passed,https://www.documenters.org/meetings/promote-wpb-committee-2018-meetings-24336/,,1414 N Ashland Ave,,Chicago,IL,,41.90748,-87.66791
23439,Chicago Low-Income Housing Trust Fund,51,Allocations Committee,2018-01-04,Thursday,10:00:00,11:00:00,Passed,https://www.documenters.org/meetings/allocations-committee-23439/,,121 N La Salle,Room 1006,Chicago,IL,60602,41.88369172,-87.63239456
1685,Metropolitan Water Reclamation District of Greater Chicago,28,Board of Commissioners,2018-01-04,Thursday,10:30:00,12:30:00,Passed,https://www.documenters.org/meetings/board-of-commissioners-1685/,,100 East Erie Street,,Chicago,IL,60611,41.89423,-87.62528
1684,Metropolitan Water Reclamation District of Greater Chicago,28,Committee of the Whole,2018-01-04,Thursday,10:35:00,12:35:00,Passed,https://www.documenters.org/meetings/committee-of-the-whole-1684/,,100 East Erie Street,,Chicago,IL,60611,41.89423,-87.62528
24437,Chicago Special Service Area #29 West Town,97,Commission,2018-01-04,Thursday,11:00:00,13:00:00,Passed,https://www.documenters.org/meetings/commission-24437/,,1819 W Chicago Ave,,Chicago,IL,60622,41.89589,-87.67286
23438,Public Building Commission of Chicago,40,"Administrative Operations Committee Meeting – January 4, 2018",2018-01-04,Thursday,13:00:00,14:00:00,Passed,https://www.documenters.org/meetings/administrative-operations-committee-meeting-january-4-2018-23438/,,50 W Washington Street,,Chicago,IL,60602,41.88425,-87.63019
7685,Forest Preserve District of Cook County,60,Next Century Conservation and Policy Council,2018-01-08,Monday,9:00:00,11:00:00,Passed,https://www.documenters.org/meetings/next-century-conservation-and-policy-council-7685/,,69 West Washington 69 West Washington Flr-Conference Rm A,Cook County Building 22nd Flr 69 22nd,Chicago Chicago,IL,60602,41.88297,-87.62991
1478,Cook County Board of Commissioners,115,Nominating Committee of the Board of Directors of the Cook County Health and Hospitals System,2018-01-08,Monday,10:00:00,12:00:00,Passed,https://www.documenters.org/meetings/nominating-committee-of-the-board-of-directors-of-the-cook-county-health-and-hospitals-system-1478/,,118 North Clark Street,Cook County Building Board Room,Chicago,IL,,41.88382,-87.63121
23444,Chicago Transit Authority,25,ADA Advisory Committee Meeting,2018-01-08,Monday,13:30:00,16:30:00,Passed,https://www.documenters.org/meetings/ada-advisory-committee-meeting-23444/,,567 West Lake Street,,Chicago,IL,60661,41.8853,-87.64232
24337,Chicago Special Service Area #33 Wicker Park & Bucktown,93,Guide Development Committee - 2018 Meetings,2018-01-09,Tuesday,8:00:00,9:30:00,Passed,https://www.documenters.org/meetings/guide-development-committee-2018-meetings-24337/,,1649 N Damen,,Chicago,IL,,41.91193,-87.67726
1477,Cook County Board of Commissioners,115,Board of Commissioners,2018-01-09,Tuesday,9:00:00,11:00:00,Passed,https://www.documenters.org/meetings/board-of-commissioners-1477/,,118 North Clark Street,Cook County Building Board Room,Chicago,,,41.88382,-87.63166
7849,Chicago Board of Election Commissioners,61,Electoral Board,2018-01-09,Tuesday,9:30:00,11:30:00,Passed,https://www.documenters.org/meetings/electoral-board-7849/,,8th Floor Office 69 W Washington St,,Chicago,IL,60602,41.88325,-87.63204
7818,"Chicago City Council Committee on Zoning, Landmarks and Building Standards",13,"Committee on Zoning, Landmarks and Building Standards",2018-01-09,Tuesday,10:00:00,12:00:00,Passed,https://www.documenters.org/meetings/committee-on-zoning-landmarks-and-building-standards-7818/,,121 N LaSalle St,,Chicago,IL,60602,41.88369172,-87.63239456
7677,Forest Preserve District of Cook County,60,Workers' Compensation Committee,2018-01-09,Tuesday,10:30:00,12:30:00,Canceled,https://www.documenters.org/meetings/workers-compensation-committee-7677/,,118 North Clark Street,Cook County Building Board Room,Chicago,,,41.88382,-87.63166
7680,Forest Preserve District of Cook County,60,Finance Committee,2018-01-09,Tuesday,10:30:00,12:30:00,Passed,https://www.documenters.org/meetings/finance-committee-7680/,,118 North Clark Street,Cook County Building Board Room,Chicago,IL,,41.88382,-87.63121
7675,Forest Preserve District of Cook County,60,Rules Committee,2018-01-09,Tuesday,10:30:00,12:30:00,Passed,https://www.documenters.org/meetings/rules-committee-7675/,,118 North Clark Street,Cook County Building Board Room,Chicago,IL,,41.88382,-87.63121
7679,Forest Preserve District of Cook County,60,Legislation and Intergovernmental Relations,2018-01-09,Tuesday,10:35:00,12:35:00,Passed,https://www.documenters.org/meetings/legislation-and-intergovernmental-relations-7679/,,118 North Clark Street,Cook County Building Board Room,Chicago,IL,,41.88382,-87.63121
7817,"Chicago City Council Committee on Special Events, Cultural Affairs and Recreation",13,"Committee on Special Events, Cultural Affairs and Recreation",2018-01-09,Tuesday,11:00:00,13:00:00,Passed,https://www.documenters.org/meetings/committee-on-special-events-cultural-affairs-and-recreation-7817/,,121 N LaSalle St,,Chicago,IL,60602,41.88369172,-87.63239456
15031,Cook County Local Records Commission,71,Local Records Commission,2018-01-09,Tuesday,11:00:00,13:00:00,Passed,https://www.documenters.org/meetings/local-records-commission-15031/,,100 W Randolph St,Room 9-035,Chicago,IL,60601,41.88517,-87.6322
7671,Forest Preserve District of Cook County,60,FPD Board of Commissioners,2018-01-09,Tuesday,11:00:00,13:00:00,Passed,https://www.documenters.org/meetings/fpd-board-of-commissioners-7671/,,118 North Clark Street,,Chicago,IL,,41.88382,-87.63121
1476,Cook County Board of Commissioners,115,Finance Subcommittee on Litigation,2018-01-09,Tuesday,12:00:00,14:00:00,Passed,https://www.documenters.org/meetings/finance-subcommittee-on-litigation-1476/,,118 North Clark Street,Cook County Building Board Room,Chicago,IL,,41.88382,-87.63121
7672,Forest Preserve District of Cook County,60,Litigation Committee,2018-01-09,Tuesday,12:00:00,14:00:00,Passed,https://www.documenters.org/meetings/litigation-committee-7672/,,118 North Clark Street,Cook County Building Board Room,Chicago,IL,,41.88382,-87.63121
1475,Cook County Board of Commissioners,115,Human Relations Committee,2018-01-09,Tuesday,12:15:00,14:15:00,Passed,https://www.documenters.org/meetings/human-relations-committee-1475/,,118 North Clark Street,Cook County Building Board Room,Chicago Illinois This meeting is reconvened,,,41.88382,-87.63121
1474,Cook County Board of Commissioners,115,Finance Subcommittee on Workers' Compensation,2018-01-09,Tuesday,12:30:00,14:30:00,Passed,https://www.documenters.org/meetings/finance-subcommittee-on-workers-compensation-1474/,,118 North Clark Street,Cook County Building Board Room,Chicago,IL,,41.88382,-87.63121
23446,Public Building Commission of Chicago,40,"Board Meeting – January 9, 2018",2018-01-09,Tuesday,14:30:00,15:30:00,Passed,https://www.documenters.org/meetings/board-meeting-january-9-2018-23446/,,50 W Washington Street,,Chicago,IL,60602,41.88425,-87.63019
23447,Firemen's Annuity and Benefit Fund of Chicago,77,Committee,2018-01-10,Wednesday,0:00:00,2:00:00,Passed,https://www.documenters.org/meetings/committee-23447/,,20 S Clark St,Suite 1400,Chicago,IL,60602,41.88128,-87.63117
23449,Chicago Transit Authority,25,"Committee on Finance, Audit & Budget",2018-01-10,Wednesday,9:00:00,12:00:00,Passed,https://www.documenters.org/meetings/committee-on-finance-audit-budget-23449/,,567 West Lake Street,,Chicago,IL,60661,41.8853,-87.64232
23451,Chicago Transit Authority,25,Committee on Strategic Planning & Service Delivery,2018-01-10,Wednesday,9:00:00,12:00:00,Passed,https://www.documenters.org/meetings/committee-on-strategic-planning-service-delivery-23451/,,567 West Lake Street,,Chicago,IL,60661,41.8853,-87.64232
7815,Chicago City Council Committee on Finance,13,Committee on Finance,2018-01-10,Wednesday,10:00:00,12:00:00,Passed,https://www.documenters.org/meetings/committee-on-finance-7815/,,121 N LaSalle St,,Chicago,IL,60602,41.88369172,-87.63239456
7819,Chicago City Council Committee on Transportation and Public Way,13,Committee on Transportation and Public Way,2018-01-10,Wednesday,10:00:00,12:00:00,Passed,https://www.documenters.org/meetings/committee-on-transportation-and-public-way-7819/,,121 N LaSalle St,,Chicago,IL,60602,41.88369172,-87.63239456
23448,Chicago Transit Authority,25,Regular Board Meeting of Chicago Transit Board,2018-01-10,Wednesday,10:00:00,13:00:00,Passed,https://www.documenters.org/meetings/regular-board-meeting-of-chicago-transit-board-23448/,,567 West Lake Street,,Chicago,IL,60661,41.8853,-87.64232
7816,Chicago City Council Committee on License and Consumer Protection,13,Committee on License and Consumer Protection,2018-01-10,Wednesday,11:00:00,13:00:00,Passed,https://www.documenters.org/meetings/committee-on-license-and-consumer-protection-7816/,,121 N LaSalle St,,Chicago,IL,60602,41.88369172,-87.63239456
3162,Chicago Park District,43,Board of Commissioners,2018-01-10,Wednesday,11:30:00,13:30:00,Passed,https://www.documenters.org/meetings/board-of-commissioners-3162/,,541 NORTH FAIRBANKS COURT,8TH FLOOR BOARD ROOM,CHICAGO,IL,60611,41.89221,-87.61975
7062,Commission on Chicago Landmarks,108,Commission,2018-01-10,Wednesday,12:45:00,,Passed,https://www.documenters.org/meetings/commission-7062/,City Hall,121 N LaSalle St,Room 201-A,,,,40.26674,-96.76275
24339,Chicago Special Service Area #19 Howard Street,94,Commission,2018-01-11,Thursday,8:30:00,10:30:00,Passed,https://www.documenters.org/meetings/commission-24339/,,1623 W Howard St,,Chicago,IL,60626,42.01918,-87.67224
24338,Chicago Special Service Area #33 Wicker Park & Bucktown,93,Transportation Committee - 2018 Meetings,2018-01-11,Thursday,8:30:00,10:00:00,Passed,https://www.documenters.org/meetings/transportation-committee-2018-meetings-24338/,,1414 N Ashland Ave,,Chicago,IL,,41.90748,-87.66791
7813,Chicago City Council Committee on Housing and Real Estate,13,Committee on Housing and Real Estate,2018-01-11,Thursday,10:00:00,12:00:00,Passed,https://www.documenters.org/meetings/committee-on-housing-and-real-estate-7813/,,121 N LaSalle St,,Chicago,IL,60602,41.88369172,-87.63239456
